gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ch,dvt,lct,lt,ni,re,revt,seq,teq,xt,costat,ggroup
61955,20131130,2013,INDL,C,D,STD,AGFMF,AGF MANAGEMENT LTD  -CL B,CAD,1617.873,369.865,96.268,147.52,651.646,22.447,413.106,472.912,966.227,966.227,,A,4020
61971,20131231,2013,INDL,C,D,STD,ENG,ENGLOBAL CORP,USD,45.801,3.955,0,23.318,23.318,-2.989,-13.838,168.963,22.483,22.483,,A,1010
61980,20130930,2013,INDL,C,D,STD,AOLS,AEOLUS PHARMACEUTICALS INC,USD,1.966,0.869,0,1.261,1.261,-3.208,-183.922,3.928,0.705,0.705,,A,3520
61994,20130930,2013,INDL,C,D,STD,9352B,UNITED STATES POSTAL SERVICE,USD,21641,2326,0,36683,61464,-4977,-42955,67318,-39823,-39823,,A,2030
61996,20131231,2013,INDL,C,D,STD,ARTC,ARTHROCARE CORP,USD,594.141,214.853,3.735,84.998,106.552,26.056,78.886,377.989,487.589,487.589,,A,3510
62016,20131231,2013,INDL,C,D,STD,SZMK,SIZMEK INC,USD,330.023,22.648,0,21.678,36.887,-4.711,,161.132,293.136,293.136,,A,2540
62057,20131231,2013,INDL,C,D,STD,WYY,WIDEPOINT CORP,USD,36.075,0,,10.906,13.559,-1.695,-47.416,46.825,22.516,22.516,,A,4510
62072,20131231,2013,INDL,C,D,STD,APT,ALPHA PRO TECH LTD,USD,38.563,8.215,0,1.725,2.982,2.079,16.398,43.806,35.581,35.581,,A,2010
62107,20130930,2013,INDL,C,D,STD,MGAM,MULTIMEDIA GAMES HOLDING CO,USD,281.525,102.632,0,33.349,72.584,34.934,144.217,189.366,208.941,208.941,,A,2530
62110,20131231,2013,INDL,C,D,STD,APRI,APRICUS BIOSCIENCES INC,USD,23.31,21.405,0,11.76,12.338,-16.938,-268.066,2.511,10.972,10.972,,A,3520
62123,20131231,2013,INDL,C,D,STD,PBHC,PATHFINDER BANCORP INC,USD,503.793,6.535,0.301,,460.723,2.406,27.043,22.299,42.712,43.07,,A,4010
62139,20131231,2013,INDL,C,D,STD,PLBC,PLUMAS BANCORP,USD,515.725,49.917,-0.218,,485.132,3.431,24.344,26.102,30.593,30.593,,A,4010
62168,20131231,2013,INDL,C,D,STD,IRIX,IRIDEX CORP,USD,33.677,13.444,,7.362,7.823,2.231,-14.921,38.273,25.854,25.854,,A,3510
62169,20130531,2012,INDL,C,D,STD,LNDC,LANDEC CORP,USD,290.942,13.718,0,50.753,110.528,22.587,52.409,441.708,178.693,180.414,,A,1510
62213,20130630,2013,INDL,C,D,STD,USAT,USA TECHNOLOGIES INC,USD,36.576,5.981,0.664,12.016,13.197,0.854,-201.142,35.94,23.379,23.379,,A,4520
62217,20130630,2013,INDL,C,D,STD,LPTH,LIGHTPATH TECHNOLOGIES INC,USD,8.377,1.565,0,1.622,2.947,0.215,-204.345,11.784,5.43,5.43,,A,4520
62221,20130331,2012,INDL,C,D,STD,CMCO,COLUMBUS MCKINNON CORP,USD,566.867,121.66,0,84.237,326.88,78.296,48.036,597.263,239.987,239.987,,A,2010
62243,20131231,2013,INDL,C,D,STD,UNTY,UNITY BANCORP INC,USD,921.118,24.272,1.176,,863.945,5.115,5.122,40.558,57.173,57.173,,A,4010
62245,20131231,2013,INDL,C,D,STD,VYFC,VALLEY FINANCIAL CORP,USD,825.346,11.404,1.304,,776.426,6.835,26.294,36.107,48.92,48.92,,A,4010
62262,20130930,2013,INDL,C,D,STD,FORD,FORWARD INDUSTRIES INC,USD,15.031,6.617,0.547,4.837,4.92,-0.207,-7.399,30.911,10.111,10.111,,A,2520
62263,20131231,2013,INDL,C,D,STD,ALXN,ALEXION PHARMACEUTICALS INC,USD,3317.696,529.857,0,582.429,935.617,252.895,356.241,1551.346,2382.079,2382.079,,A,3520
62266,20131231,2013,INDL,C,D,STD,CSGS,CSG SYSTEMS INTL INC,USD,868.98,82.686,15.214,206.806,502.876,51.351,630.628,747.468,366.104,366.104,,A,4510
62290,20131231,2013,INDL,C,D,STD,REV,REVLON INC  -CL A,USD,2123.9,244.1,0,552.7,2720.4,-5.8,-1602.5,1495,-596.5,-596.5,,A,3030
62317,20131231,2013,INDL,C,D,STD,PGI,PREMIERE GLOBAL SERVICES INC,USD,698.108,44.955,0,104.228,425.223,18.316,-185.511,526.865,272.885,272.885,,A,5010
62330,20131231,2013,INDL,C,D,STD,BAGL,EINSTEIN NOAH RESTAURANT GRP,USD,198.254,5.982,8.784,43.008,159.295,14.565,-244.683,434.481,38.959,38.959,,A,2530
62337,20131231,2013,INDL,C,D,STD,IAG,IAMGOLD CORP,USD,4190.4,222.3,47,215.3,1317.9,-832.5,478.4,1147.1,2831.2,2872.5,,A,1510
